MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,101710,53,26037813,268-02-26037813,,,4,900,38.948234,-9.0112647,240,A DOS BISPOS (3),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,93,26037853,268-02-26037853,,,4,2600,38.948234,-9.0112647,240,A DOS BISPOS (3),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101710,183,26037943,268-02-26037943,,,4,1800,38.948234,-9.0112647,240,A DOS BISPOS (3),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,53,128437813,268-02-128437813,,,4,900,38.948234,-9.0112647,240,A DOS BISPOS (3),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,501710,183,128437943,268-02-128437943,,,4,1800,38.948234,-9.0112647,240,A DOS BISPOS (3),,,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,1114,LISBOA,11,,,,6/1/2025,111409
268,2,,101642,51,26020403,268-02-26020403,,,4,900,39.1503982,-9.302736,0,A DOS CUNHADOS (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,91,26020443,268-02-26020443,,,4,2600,39.1503982,-9.302736,0,A DOS CUNHADOS (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,181,26020533,268-02-26020533,,,4,1800,39.1503982,-9.302736,0,A DOS CUNHADOS (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,51,128420403,268-02-128420403,,,4,900,39.1503982,-9.302736,0,A DOS CUNHADOS (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,181,128420533,268-02-128420533,,,4,1800,39.1503982,-9.302736,0,A DOS CUNHADOS (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
